	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Dialister_invisus	Escherichia_coli	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Parabacteroides_distasonis	Parabacteroides_merdae	Prevotella_copri	Roseburia_intestinalis	Ruminococcus_torques	Subdoligranulum_unclassified
MSM9VZMW	0	682	1629	41	940	451	0	877	0	154	0	1150	169	842	0	5	212	713	653	0	57	0	102	15	69
MSM9VZNH	0	0	40	170	0	0	0	0	53	62	21	473	665	10	0	73	138	0	3872	0	185	0	197	104	2659
MSM9VZNH_TR	0	0	45	129	0	0	0	0	39	65	27	549	609	15	0	82	112	0	3867	0	185	0	184	92	2841
MSM9VZNL	5	10	131	317	25	0	3	0	36	150	39	1416	348	73	0	4	273	3	3512	9	499	0	26	193	1792
MSM9VZOG	946	1	347	0	0	1202	0	1	1	0	2337	4	0	0	10	0	67	136	808	0	1	0	3924	30	81
MSM9VZOI	2248	0	1467	0	0	2328	0	0	0	0	2613	0	0	0	167	12	51	0	358	0	0	0	460	30	21
MSM9VZOK	312	0	408	0	0	4326	0	0	0	0	778	1	1	0	520	0	236	0	2196	0	0	0	924	65	54
MSM9VZOM	569	0	1998	0	0	2834	0	0	0	0	2322	0	1	0	119	0	582	0	708	0	0	0	248	19	91
MSM9VZOO	0	0	1441	0	0	1923	0	0	0	0	3802	0	1	0	572	16	345	0	1200	0	0	0	44	0	19
MSM9VZOQ	0	0	684	0	0	1981	0	0	0	0	2277	0	2	0	1123	0	170	0	1647	0	0	0	1884	27	66
MSM9VZPT	45	111	969	510	82	66	68	0	580	0	18	59	194	1177	0	49	595	486	381	497	0	0	0	689	1156
MSMA26BB	0	148	524	43	866	422	0	504	0	191	0	1211	154	271	0	0	239	2205	1751	0	147	0	687	16	126
MSMA26BD	0	169	704	30	595	518	0	702	0	221	0	835	225	381	0	0	161	915	2578	0	114	0	982	36	228
MSMA26BF	0	158	371	42	1001	785	0	581	0	7	0	898	208	466	0	0	698	647	2963	0	143	0	325	23	179
MSMA26BH	0	285	594	47	1101	575	0	991	0	41	0	881	234	544	0	0	101	1804	1837	0	161	0	95	6	192
MSMA26BJ	0	66	341	28	403	487	0	439	0	43	0	825	178	240	0	1	569	1682	2568	0	116	0	1104	16	119
MSMA26BL	0	25	568	583	160	1107	0	617	0	36	0	1182	348	167	0	14	647	1	2501	0	185	0	11	75	46
MSMA26BN	555	0	662	71	661	0	0	0	181	0	23	429	681	166	0	0	1356	1	3820	0	459	0	97	58	406
MSMA26BR	503	0	1013	219	370	1	0	0	364	0	175	635	1332	342	0	0	1402	0	2208	0	413	0	106	70	375
MSMA26BT	4	0	911	316	567	0	0	0	752	0	323	624	2237	174	0	0	482	30	1681	0	1213	0	80	16	202
MSMA26BV	334	0	683	95	555	0	0	0	56	0	47	346	799	146	0	0	2470	0	3368	0	219	0	65	120	440
MSMA26BX	671	0	1238	183	586	1	0	0	135	0	61	1076	1802	166	0	0	688	0	1177	1	957	0	290	56	386
MSMA26DG	0	223	735	92	0	92	0	0	24	974	69	1184	629	332	41	0	126	0	5186	0	88	0	0	5	32
MSMA26DI	0	64	280	110	0	273	0	0	40	1106	98	1419	289	185	61	0	1976	1	3631	0	154	0	0	94	54
MSMA26DK	0	396	582	230	0	349	0	0	169	1515	168	2170	353	593	134	0	381	4	2036	0	620	0	0	11	75
MSMA26DM	0	138	413	256	0	194	0	0	96	2169	94	1529	635	174	257	5	1014	4	1413	0	617	0	787	16	53
MSMA26DO	0	35	114	146	0	605	0	0	145	874	76	1265	819	110	218	0	2606	0	2382	0	203	0	0	43	45
MSMAPC5H	0	180	839	270	0	1477	0	0	359	713	447	2620	589	297	116	0	221	0	901	74	518	0	0	11	58
MSMAPC5L	0	134	486	436	0	1974	0	0	115	1190	257	2002	586	151	239	0	112	0	1430	164	252	0	103	28	89
MSMAPC6K	0	110	322	130	562	502	0	449	0	61	1	857	219	256	0	7	259	1390	3088	0	193	0	655	80	136
MSMAPC6M	0	57	420	69	418	300	0	361	0	44	0	641	208	184	0	1	655	1784	2106	0	89	0	1667	67	104
MSMAPC6O	0	97	396	83	844	458	0	374	0	35	0	781	123	324	0	0	901	713	3052	0	103	0	610	71	216
MSMAPC7J	0	106	250	0	0	360	0	149	184	1	0	927	0	78	0	0	2417	13	1869	115	65	0	0	105	1786
MSMAPC7P	0	0	552	0	1349	1	46	0	0	0	177	143	2286	0	1054	0	0	0	2532	1607	0	0	0	32	184
MSMAPC7R	1	0	391	0	2443	3	43	0	1	0	290	383	2656	0	2038	2	2	0	1025	521	0	0	0	28	154
MSMAPC7T	0	0	782	0	3444	2	75	0	0	0	433	395	1327	0	612	0	0	0	1453	900	0	0	0	73	412
MSMB4LXS	0	0	0	26	0	13	0	0	39	484	36	327	1139	0	0	0	28	0	6063	929	2	0	0	214	107
MSMB4LXW	0	14	328	143	0	156	0	1	54	874	29	1376	1585	6	900	15	1201	5	2340	501	151	0	102	54	70
MSMB4LZ8	604	0	997	343	496	0	0	0	117	0	205	414	1348	84	0	2	2128	1	1296	1	697	0	202	394	222
MSMB4LZC	0	0	476	0	1410	21	109	3	1	0	424	245	2118	0	2482	42	7	0	608	1370	0	0	0	206	431
MSMB4LZK	0	155	0	733	0	432	0	0	288	3865	404	1259	451	0	345	10	206	0	143	1158	347	0	0	14	36
MSMB4LZV	0	50	192	37	198	359	0	229	0	29	0	547	73	116	0	0	472	913	3990	0	106	0	1688	125	215
MSMB4LZX	0	61	344	92	254	332	0	254	0	52	1	834	139	257	0	0	546	31	3590	0	202	0	1813	81	207
MSMB4LZZ	0	83	560	168	730	488	0	674	0	164	1	956	237	329	0	0	164	2325	1319	0	193	0	281	91	105
PSM6XBTR	2	63	269	222	0	113	25	0	47	3694	0	1432	1276	0	93	0	356	3	469	441	284	0	0	15	101
PSM6XBTT	9	66	484	241	0	147	49	0	155	2751	0	1028	982	0	83	0	828	35	1377	117	208	0	0	16	267
PSM6XBTX	381	72	1140	3113	0	28	1	0	53	1318	0	987	739	0	32	0	412	0	632	324	76	0	0	38	303
PSM6XBU2	82	103	653	864	0	173	34	0	40	2114	0	753	1343	0	52	0	1745	1	522	250	144	0	14	38	78
PSM6XBW3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6301	0	178	0	0	0	0	0	128	3393
PSM7J14X	301	19	192	790	0	294	689	0	43	425	0	323	374	0	125	412	1434	0	3079	359	85	1	26	48	158
PSM7J154	97	51	429	273	0	443	8	0	27	1974	0	460	568	0	54	0	1043	0	2781	373	196	0	4	39	142
PSM7J156	44	143	357	285	0	337	68	0	17	427	0	515	499	0	47	3	386	0	4653	226	141	0	188	37	281
PSM7J15K	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0	0	6288	0	0	0	2741	46	158
