	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Dialister_invisus	Escherichia_coli	Eubacterium_eligens	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Prevotella_copri	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_torques	Subdoligranulum_unclassified
HSMA33N4	0	0	0	0	0	0	0	114	0	0	5880	0	925	0	0	0	0	0	3082	0	0	0	0	0	0	0	0	0	0	0	0	0
HSMA33NW	0	37	1152	0	0	2	0	0	0	1712	468	2806	284	169	98	0	36	478	493	0	194	0	405	83	0	975	169	0	0	0	334	105
HSMA33O1	0	756	0	0	0	0	0	0	722	0	628	1561	187	647	3136	0	20	0	0	60	0	0	1292	173	391	0	246	0	9	66	60	46
HSMA33O3	0	266	0	0	0	0	0	0	999	0	925	572	520	399	3579	0	0	0	12	0	5	0	1557	161	266	0	295	0	97	189	129	30
HSMA33OD	0	0	0	0	33	0	0	0	107	0	520	0	9	340	806	2358	0	223	13	27	40	8	1602	0	114	1741	0	1712	2	102	119	124
HSMA33OJ	0	0	0	1	14	0	0	0	55	0	495	0	2	210	510	740	0	35	609	7	104	18	406	0	73	1137	0	4813	293	259	152	66
HSMA33OL	0	0	0	0	14	0	0	0	40	0	225	0	27	95	313	402	0	0	71	61	46	3	210	10	44	978	0	7178	25	215	10	31
HSMA33OP	0	102	365	1383	79	0	108	0	0	489	1235	2611	0	867	893	0	15	244	0	0	70	0	547	0	0	251	240	0	0	0	0	500
HSMA33OR	0	0	129	82	1	0	628	0	0	493	85	3087	0	477	279	0	26	8	162	199	1111	0	561	7	0	121	28	0	2070	40	19	386
HSMA33OT	0	20	140	61	6	0	590	0	0	549	234	3749	0	1502	364	0	0	19	0	0	341	0	848	27	0	180	268	0	237	0	37	828
HSMA33OV	0	26	462	175	57	0	783	0	0	473	561	1853	0	819	210	0	6	9	0	76	1572	0	955	62	0	191	42	74	483	22	29	1059
HSMA33OX	0	38	401	196	43	0	1278	0	0	577	243	1449	0	850	160	0	45	10	0	0	1150	0	1410	52	0	212	46	0	4	104	24	1708
HSMA33OZ	0	4	287	116	7	0	890	0	21	1547	102	3253	2	188	475	0	38	7	29	4	1465	0	453	38	0	165	361	0	1	1	193	354
