	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Dialister_invisus	Escherichia_coli	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Parabacteroides_distasonis	Parabacteroides_merdae	Prevotella_copri	Roseburia_intestinalis	Ruminococcus_torques	Subdoligranulum_unclassified
ESM5GEXY	0	0	0	0	0	0	0	0	157	0	0	0	6589	0	15	3	888	0	1476	140	0	0	545	14	2
ESM5MEB7	0	17	325	209	0	0	0	86	62	169	18	417	45	0	0	4	144	22	1908	0	193	5923	1	16	113
ESM5MEBE	0	0	0	0	0	0	0	0	421	0	0	0	5209	0	150	79	903	0	1870	347	0	0	49	9	4
ESM5MEBG	0	0	0	0	0	0	0	0	264	0	1	0	5705	0	77	13	300	0	1821	255	0	0	285	11	5
ESM5MEBI	0	0	0	0	0	0	0	0	732	0	1	0	5548	0	0	0	1134	0	907	493	0	0	80	29	14
ESM5MECL	0	0	0	0	0	0	0	0	761	0	1	0	4439	0	53	0	539	0	2009	575	0	0	139	45	3
ESM5MECQ	0	0	0	0	0	0	0	0	79	0	0	0	4403	0	15	0	1199	0	2494	137	0	0	1213	32	2
ESM5MED2	0	21	166	128	0	0	0	98	39	163	5	148	46	0	0	13	274	1	1587	0	154	6884	0	10	61
ESM5MEDD	422	245	1277	580	0	19	13	0	89	2861	3	927	1	0	26	53	484	0	1391	0	760	0	4	27	578
ESM5MEDF	564	27	159	92	0	919	0	0	8	1138	0	202	2	0	0	66	3307	0	1813	1	186	2	9	177	1107
ESM5MEDK	299	333	749	759	0	7	6	0	146	3357	10	861	1	0	153	9	482	0	1702	0	582	0	60	9	312
ESM5MEDN	364	55	692	534	0	2792	224	0	139	3207	8	143	3	0	0	10	254	0	1089	0	15	0	0	90	199
ESM718T7	0	10	266	118	0	0	0	60	40	111	6	149	28	0	0	0	83	3	1980	0	94	6946	23	14	36
ESM718T9	0	9	620	112	0	0	0	162	31	85	5	130	36	0	0	0	205	21	1075	0	75	7098	40	7	111
ESM718TF	0	2	131	80	0	18	0	114	36	108	8	61	66	0	0	33	351	10	1543	0	64	6600	55	52	14
ESM718TK	1	6	124	14	0	0	0	24	18	24	1	30	20	0	0	0	32	2	1077	0	15	8519	6	12	10
ESM718TM	0	15	582	334	0	12	0	136	104	163	19	97	142	0	0	0	25	9	821	0	97	7252	3	6	80
ESM718UH	101	24	472	555	0	19	7	0	119	5223	8	688	2	0	43	4	629	0	787	3	679	0	52	25	103
ESM718V4	1	1	52	11	0	0	0	15	9	27	1	31	15	0	0	16	65	0	1460	0	17	7819	59	15	8
ESM718V8	0	10	381	405	0	14	0	88	75	126	5	114	78	0	0	1	313	4	1045	0	80	7012	23	30	52
ESM7F5AK	115	26	435	458	0	13	4	0	44	1739	2	162	1	0	140	0	1597	0	4288	0	413	0	60	54	256
ESM7F5AM	20	29	564	1439	0	18	18	0	149	5034	9	334	1	0	134	0	231	0	299	2	977	0	131	14	52
ESM7F5C5	0	5	207	110	0	0	0	85	51	81	11	46	47	0	0	0	334	0	2491	0	64	6334	63	20	18
ESM7F5C7	0	9	469	499	0	29	0	116	54	146	39	237	123	0	0	77	47	5	903	0	168	6805	0	9	121
ESM7F5CB	0	9	363	1390	0	20	231	0	286	6238	6	373	0	0	0	0	0	0	309	0	581	0	0	24	35
ESM7F5CD	65	55	566	1517	0	14	32	0	89	5142	9	321	1	0	0	0	0	0	871	1	982	1	0	154	68
ESM7F5CF	19	26	561	1160	0	11	30	0	67	6114	5	282	0	0	0	0	0	0	651	29	555	0	0	341	54
ESM9IEP1	1	69	841	195	0	25	0	181	88	160	14	194	152	0	0	39	9	3	1225	0	134	5817	9	10	57
HSM5FZBZ	0	39	165	0	2	103	576	0	3	0	0	168	81	0	33	29	1436	0	168	205	0	6737	0	19	6
HSM5MD48	0	0	0	0	0	0	265	0	3	0	0	1539	1	0	0	12	238	0	1475	2947	0	0	11	104	1708
